model_name,developer,model_type,wh_per_query,wh_per_100_queries,co2_g_per_query,co2_g_per_100_queries,led_10W_seconds,wh_per_1000_queries,co2_g_per_1000_queries
Gemma 7B,Google,Text,1.89e-05,0.00189,7.88e-06,0.000788,0.0068,0.0189,0.00788
Gemma 2 2B,Google,Text,1.864e-05,0.001864,7.77e-06,0.000777,0.0067,0.01864,0.00777
Yi 1.5 9B,01.AI,Text,2.3e-05,0.0023,9.59e-06,0.000959,0.0083,0.023,0.00959
Mixtral 8x7B,Mistral AI,Text,0.00061539,0.061539,0.00025662,0.025662,0.2215,0.61539,0.25662
QwQ 32B,Alibaba,Text,5.456e-05,0.005456,2.275e-05,0.002275,0.0196,0.05456,0.02275
Yi 1.5 34B,01.AI,Text,5.608e-05,0.005608,2.338e-05,0.002339,0.0202,0.05608,0.02339
Command R+,Cohere,Text,0.00342638,0.342638,0.0014288,0.14288,1.2335,3.42638,1.4288
TextBase 70B,Salesforce,Text,0.00172156,0.172156,0.00071789,0.071789,0.6198,1.72156,0.71789
Llama 3 70B,Meta,Text,0.00171966,0.171966,0.0007171,0.07171,0.6191,1.71966,0.7171
Llama 2 70b,Meta,Text,0.00164851,0.164851,0.00068743,0.068743,0.5935,1.64851,0.68743
Qwen2.5 72B,Alibaba,Text,0.00186955,0.186955,0.0007796,0.07796,0.673,1.86955,0.7796
Gemma 3 4B,Google,Text,3.439e-05,0.003439,1.434e-05,0.001434,0.0124,0.03439,0.01434
Gemma 3 270M,Google,Text,9.29e-06,0.000929,3.87e-06,0.000387,0.0033,0.00929,0.00387
Qwen3 0.6B,Alibaba,Text,1.183e-05,0.001183,4.93e-06,0.000493,0.0043,0.01183,0.00493
Hunyuan 1.8B,Tencent,Text,4.2e-06,0.00042,1.75e-06,0.000175,0.0015,0.0042,0.00175
Mistral Nemo 2407,Mistral AI,Text,2.319e-05,0.002319,9.67e-06,0.000967,0.0083,0.02319,0.00967
Qwen2.5 Coder 14B,Alibaba,Text,2.712e-05,0.002712,1.131e-05,0.001131,0.0098,0.02712,0.01131
Phi 4 Reasoning+,Microsoft,Text,1.842e-05,0.001842,7.68e-06,0.000768,0.0066,0.01842,0.00768
Gemma 3 1B,Google,Text,1.233e-05,0.001233,5.14e-06,0.000514,0.0044,0.01233,0.00514
Granite 4.0 Micro,IBM,Text,1.663e-05,0.001663,6.93e-06,0.000693,0.006,0.01663,0.00693
SmolLM3 3B,HuggingFace,Text,1.835e-05,0.001835,7.65e-06,0.000765,0.0066,0.01835,0.00765
*Granite 4.0 H Tiny,IBM,Text,8.182e-05,0.008182,3.412e-05,0.003412,0.0295,0.08182,0.03412
Apertus 8B 2509,Swiss AI,Text,2.174e-05,0.002174,9.07e-06,0.000907,0.0078,0.02174,0.00907
Gemma 3 27B,Google,Text,5.041e-05,0.005041,2.102e-05,0.002102,0.0181,0.05041,0.02102
Qwen3 30B A3B,Alibaba,Text,3.738e-05,0.003738,1.559e-05,0.001559,0.0135,0.03738,0.01559
EXAONE 4.0 32B,LG AI,Text,5.448e-05,0.005448,2.272e-05,0.002272,0.0196,0.05448,0.02272
GLM 4.5 Air,Zhipu AI,Text,0.00022055,0.022055,9.197e-05,0.009197,0.0794,0.22055,0.09197
Qwen3 235B A22B,Alibaba,Text,0.00030581,0.030581,0.00012752,0.012752,0.1101,0.30581,0.12752
DS R1 Distill 32B,DeepSeek,Text,3.664e-05,0.003664,1.528e-05,0.001528,0.0132,0.03664,0.01528
GLM 4.5,Zhipu AI,Text,0.00122542,0.122542,0.000511,0.0511,0.4412,1.22542,0.511
GLM 4.6,Zhipu AI,Text,0.00127355,0.127355,0.00053107,0.053107,0.4585,1.27355,0.53107
Apertus 70B 2509,Swiss AI,Text,0.00069752,0.069752,0.00029087,0.029087,0.2511,0.69752,0.29087
DS R1 Distill 70B,DeepSeek,Text,4.953e-05,0.004953,2.065e-05,0.002065,0.0178,0.04953,0.02065
